"Gainesville, FL",9.571428571428571
"Richmond, VA",11.339622641509434
"Tucson, AZ",1.3934426229508197
"Ontario, CA",1.8970588235294117
"Myrtle Beach, SC",10.75
"Medford, OR",-3.6666666666666665
"Palm Springs, CA",-2.2903225806451615
"Redding, CA",-5.5
"Durango, CO",-6.111111111111111
"Corpus Christi, TX",3.9583333333333335
"Mobile, AL",7.15
"Dubuque, IA",-3.6666666666666665
"Pensacola, FL",6.741935483870968
"Fort Myers, FL",17.273972602739725
"Huntsville, AL",-1.84375
"Columbus, GA",11.833333333333334
"Pasco/Kennewick/Richland, WA",0.9
"Springfield, IL",-3.6
"Aspen, CO",-7.0
"San Juan, PR",13.08695652173913
"Montrose/Delta, CO",-3.3333333333333335
"Cedar City, UT",1.5
"Lihue, HI",-1.4827586206896552
"Fort Smith, AR",-5.0
"Lewisburg, WV",-4.5
"Reno, NV",0.4166666666666667
"Harlingen/San Benito, TX",-0.13333333333333333
"Columbus, OH",10.52808988764045
"Honolulu, HI",-1.894736842105263
"Bakersfield, CA",6.888888888888889
"Crescent City, CA",-2.0
"Tyler, TX",7.5
"Burlington, VT",9.333333333333334
"Norfolk, VA",11.604166666666666
"Laredo, TX",-2.5
"Baton Rouge, LA",11.296296296296296
"Roswell, NM",-8.666666666666666
"Dayton, OH",1.4871794871794872
"Bismarck/Mandan, ND",-2.4545454545454546
"Hilo, HI",-3.85
"Minot, ND",-4.0
"Cleveland, OH",11.72121212121212
"Augusta, GA",-1.1666666666666667
"Sioux Falls, SD",-4.05
"Bend/Redmond, OR",3.375
"Louisville, KY",20.941176470588236
"Kansas City, MO",14.291666666666666
"Yakutat, AK",-24.5
"Missoula, MT",4.111111111111111
"Cincinnati, OH",13.785714285714286
"Akron, OH",9.090909090909092
"Las Vegas, NV",5.894865525672372
"Sacramento, CA",5.894308943089431
"Barrow, AK",37.0
"Charleston, SC",28.305555555555557
"Atlanta, GA",12.382924767540151
"El Centro, CA",4.5
"Charlottesville, VA",25.666666666666668
"Lexington, KY",7.846153846153846
"Juneau, AK",28.181818181818183
"Elko, NV",-6.25
"Peoria, IL",4.5
"Albany, GA",-3.6666666666666665
"San Angelo, TX",-8.0
"Seattle, WA",1.349264705882353
"Longview, TX",0.0
"Lincoln, NE",-3.888888888888889
"Anchorage, AK",1.0454545454545454
"Grand Junction, CO",-2.875
"Nome, AK",12.0
"Tulsa, OK",3.6271186440677967
"Des Moines, IA",-0.9736842105263158
"Boston, MA",18.13134328358209
"Cheyenne, WY",26.5
"Milwaukee, WI",8.232
"New Bern/Morehead/Beaufort, NC",29.666666666666668
"Greer, SC",16.333333333333332
"Houston, TX",6.30246020260492
"Fargo, ND",3.25
"Deadhorse, AK",3.5
"Helena, MT",2.0
"Harrisburg, PA",-1.6
"Santa Fe, NM",-5.333333333333333
"Twin Falls, ID",-0.75
"Bethel, AK",14.333333333333334
"Daytona Beach, FL",29.25
"Sun Valley/Hailey/Ketchum, ID",1.4
"North Bend/Coos Bay, OR",31.5
"Midland/Odessa, TX",-2.0
"Kalispell, MT",-6.666666666666667
"Grand Forks, ND",-3.142857142857143
"Aguadilla, PR",-3.0
"Great Falls, MT",-5.8
"Nashville, TN",16.611464968152866
"Hartford, CT",2.409090909090909
"San Francisco, CA",4.918158567774936
"Kahului, HI",-0.9814814814814815
"Manchester, NH",7.131578947368421
"Los Angeles, CA",2.3160714285714286
"Lubbock, TX",0.0
"Saginaw/Bay City/Midland, MI",-7.416666666666667
"La Crosse, WI",-5.75
"Carlsbad, CA",-1.6666666666666667
"Dallas, TX",11.367647058823529
"San Jose, CA",1.565217391304348
"Tunica, MS",-8.0
"Killeen, TX",-5.818181818181818
"Marquette, MI",-1.75
"Monroe, LA",-1.75
"Knoxville, TN",8.179487179487179
"Fort Lauderdale, FL",20.21383647798742
"Bangor, ME",-5.0
"El Paso, TX",5.725806451612903
"Spokane, WA",-3.4210526315789473
"Syracuse, NY",37.41379310344828
"Evansville, IN",-4.5
"Fayetteville, NC",9.0
"Flagstaff, AZ",4.714285714285714
"Eagle, CO",-5.0
"San Diego, CA",3.0930232558139537
